user_loc,fr_loc,scaled_sci
UKR1,JOR7,41
UKR1,JOR8,31
UKR1,JOR9,37
UKR1,JPN1,10
UKR1,JPN10,12
UKR1,JPN11,9
UKR1,JPN12,31
UKR1,JPN13,17
UKR1,JPN14,24
UKR1,JPN15,10
UKR1,JPN16,6
UKR1,JPN17,10
UKR1,JPN18,8
UKR1,JPN19,13
UKR1,JPN2,8
UKR1,JPN20,11
UKR1,JPN21,7
UKR1,JPN22,15
UKR1,JPN23,10
UKR1,JPN24,9
UKR1,JPN25,9
UKR1,JPN26,8
UKR1,JPN27,10
UKR1,JPN28,12
UKR1,JPN29,8
UKR1,JPN3,7
UKR1,JPN30,9
UKR1,JPN31,10
UKR1,JPN32,13
UKR1,JPN33,11
UKR1,JPN34,6
UKR1,JPN35,22
UKR1,JPN36,9
UKR1,JPN37,6
UKR1,JPN38,10
UKR1,JPN39,13
UKR1,JPN4,16
UKR1,JPN40,10
UKR1,JPN41,16
UKR1,JPN42,8
UKR1,JPN43,13
UKR1,JPN44,9
UKR1,JPN45,7
UKR1,JPN46,12
UKR1,JPN47,15
UKR1,JPN5,8
UKR1,JPN6,9
UKR1,JPN7,10
UKR1,JPN8,9
UKR1,JPN9,10
UKR1,KAZ1,619
UKR1,KAZ10,1063
UKR1,KAZ11,216
UKR1,KAZ12,326
UKR1,KAZ13,433
UKR1,KAZ14,401
UKR1,KAZ2,604
UKR1,KAZ3,352
UKR1,KAZ4,339
UKR1,KAZ5,699
UKR1,KAZ6,294
UKR1,KAZ7,1025
UKR1,KAZ8,858
UKR1,KAZ9,835
UKR1,KEN1,16
UKR1,KEN10,28
UKR1,KEN11,30
UKR1,KEN12,18
UKR1,KEN13,26
UKR1,KEN14,72
UKR1,KEN15,20
UKR1,KEN16,49
UKR1,KEN17,37
UKR1,KEN18,21
UKR1,KEN19,67
UKR1,KEN2,19
UKR1,KEN20,39
UKR1,KEN21,44
UKR1,KEN22,24
UKR1,KEN23,20
UKR1,KEN24,19
UKR1,KEN25,17
UKR1,KEN26,23
UKR1,KEN27,42
UKR1,KEN28,46
UKR1,KEN29,18
UKR1,KEN3,24
UKR1,KEN30,29
UKR1,KEN31,26
UKR1,KEN32,16
UKR1,KEN33,38
UKR1,KEN34,33
UKR1,KEN35,19
UKR1,KEN36,22
UKR1,KEN37,23
UKR1,KEN38,25
UKR1,KEN39,78
UKR1,KEN4,36
UKR1,KEN40,35
UKR1,KEN41,14
UKR1,KEN42,46
UKR1,KEN43,31
UKR1,KEN44,20
UKR1,KEN45,29
UKR1,KEN46,13
UKR1,KEN47,15
UKR1,KEN5,14
UKR1,KEN6,18
UKR1,KEN7,17
UKR1,KEN8,37
UKR1,KEN9,27
UKR1,KGZ1,275
UKR1,KGZ2,412
UKR1,KGZ3,659
UKR1,KGZ4,407
UKR1,KGZ5,273
UKR1,KGZ6,307
UKR1,KGZ7,370
UKR1,KGZ8,370
UKR1,KGZ9,503
UKR1,KHM1,4
UKR1,KHM10,10
UKR1,KHM11,4
UKR1,KHM12,6
UKR1,KHM13,25
UKR1,KHM14,5
UKR1,KHM15,3
UKR1,KHM16,9
UKR1,KHM17,4
UKR1,KHM18,4
UKR1,KHM19,4
UKR1,KHM2,4
UKR1,KHM20,5
UKR1,KHM21,11
UKR1,KHM22,4
UKR1,KHM23,4
UKR1,KHM24,4
UKR1,KHM25,4
UKR1,KHM3,7
UKR1,KHM4,4
UKR1,KHM5,4
UKR1,KHM6,3
UKR1,KHM7,3
UKR1,KHM8,6
UKR1,KHM9,10
UKR1,KIR,7
UKR1,KNA,59
UKR1,KOR1,12
UKR1,KOR10,19
UKR1,KOR11,25
UKR1,KOR12,20
UKR1,KOR13,11
UKR1,KOR14,13
UKR1,KOR15,20
UKR1,KOR16,19
UKR1,KOR17,15
UKR1,KOR2,28
UKR1,KOR3,31
UKR1,KOR4,12
UKR1,KOR5,14
UKR1,KOR6,13
UKR1,KOR7,23
UKR1,KOR8,29
UKR1,KOR9,24
UKR1,KWT1,33
UKR1,KWT2,36
UKR1,KWT3,53
UKR1,KWT4,54
UKR1,KWT5,48
UKR1,KWT6,38
UKR1,LAO1,5
UKR1,LAO10,9
UKR1,LAO11,3
UKR1,LAO12,4
UKR1,LAO13,9
UKR1,LAO14,3
UKR1,LAO15,5
UKR1,LAO16,3
UKR1,LAO17,7
UKR1,LAO18,8
UKR1,LAO2,26
UKR1,LAO3,4
UKR1,LAO4,5
UKR1,LAO5,4
UKR1,LAO6,3
UKR1,LAO7,7
UKR1,LAO8,7
UKR1,LAO9,4
UKR1,LBN1,65
UKR1,LBN2,54
UKR1,LBN3,102
UKR1,LBN4,60
UKR1,LBN5,92
UKR1,LBN6,77
UKR1,LBN7,54
UKR1,LBN8,71
UKR1,LBR1,98
UKR1,LBR10,57
UKR1,LBR11,74
UKR1,LBR12,66
UKR1,LBR14,1
UKR1,LBR15,77
UKR1,LBR2,35
UKR1,LBR3,125
UKR1,LBR4,171
UKR1,LBR5,57
UKR1,LBR6,78
UKR1,LBR7,79
UKR1,LBR8,49
UKR1,LBR9,81
UKR1,LBY1,39
UKR1,LBY10,41
UKR1,LBY11,50
UKR1,LBY12,35
UKR1,LBY13,20
UKR1,LBY14,16
UKR1,LBY15,44
UKR1,LBY16,26
UKR1,LBY17,77
UKR1,LBY18,14
UKR1,LBY19,59
UKR1,LBY2,137
UKR1,LBY20,98
UKR1,LBY21,17
UKR1,LBY22,13
UKR1,LBY3,45
UKR1,LBY4,143
UKR1,LBY5,21
UKR1,LBY6,13
UKR1,LBY7,47
UKR1,LBY8,36
UKR1,LBY9,24
UKR1,LCA,18
UKR1,LI00,572
UKR1,LKA1,23
UKR1,LKA10,49
UKR1,LKA11,27
UKR1,LKA12,28
UKR1,LKA13,21
UKR1,LKA14,24
UKR1,LKA15,16
UKR1,LKA16,24
UKR1,LKA17,30
UKR1,LKA18,18
UKR1,LKA19,18
UKR1,LKA2,19
UKR1,LKA20,16
UKR1,LKA21,18
UKR1,LKA22,28
UKR1,LKA23,16
UKR1,LKA24,15
UKR1,LKA25,10
UKR1,LKA3,19
UKR1,LKA4,16
UKR1,LKA5,36
UKR1,LKA6,64
UKR1,LKA7,26
UKR1,LKA8,20
UKR1,LKA9,13
UKR1,LSO1,10
UKR1,LSO10,1
UKR1,LSO2,4
UKR1,LSO3,7
UKR1,LSO4,2
UKR1,LSO5,5
UKR1,LSO6,5
UKR1,LSO7,3
UKR1,LSO8,2
UKR1,LSO9,4
UKR1,LT01,1067
UKR1,LT02,516
UKR1,LU00,140
UKR1,LV00,982
UKR1,MAC,13
UKR1,MAF,23
UKR1,MAR1,116
UKR1,MAR10,105
UKR1,MAR11,102
